time,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,precipitation,snowfall,cloudcover,latitude,longitude
2025-12-10 05:00:00,4.0,59,3.9,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 06:00:00,4.3,58,5.1,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 07:00:00,4.3,60,4.4,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 08:00:00,4.2,60,4.9,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 09:00:00,5.6,58,2.8,56.2,0.0,0.0,0,44.0,7.72
2025-12-10 10:00:00,5.8,88,3.1,187.2,0.0,0.0,0,44.0,7.72
2025-12-10 11:00:00,9.1,75,5.2,299.8,0.0,0.0,0,44.0,7.72
2025-12-10 12:00:00,10.0,73,5.1,372.0,0.0,0.0,0,44.0,7.72
2025-12-10 13:00:00,10.5,73,6.5,390.8,0.0,0.0,0,44.0,7.72
2025-12-10 14:00:00,10.4,77,5.9,355.5,0.0,0.0,6,44.0,7.72
2025-12-10 15:00:00,9.9,81,4.7,264.8,0.0,0.0,0,44.0,7.72
2025-12-10 16:00:00,9.0,85,3.5,141.2,0.0,0.0,0,44.0,7.72
2025-12-10 17:00:00,7.2,88,1.9,26.0,0.0,0.0,0,44.0,7.72
2025-12-10 18:00:00,6.3,72,2.5,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 19:00:00,5.3,69,4.9,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 20:00:00,5.1,70,5.2,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 21:00:00,4.9,70,5.7,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 22:00:00,4.7,69,5.9,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 23:00:00,4.7,69,5.6,0.0,0.0,0.0,0,44.0,7.72
2025-12-10 00:00:00,6.5,92,4.7,0.0,0.0,0.0,52,43.98,8.02
2025-12-10 01:00:00,7.4,93,8.4,0.0,0.0,0.0,76,43.98,8.02
2025-12-10 02:00:00,7.5,92,8.4,0.0,0.0,0.0,68,43.98,8.02
2025-12-10 03:00:00,7.4,91,7.1,0.0,0.0,0.0,52,43.98,8.02
2025-12-10 04:00:00,7.3,89,7.6,0.0,0.0,0.0,51,43.98,8.02
2025-12-10 05:00:00,7.4,90,7.9,0.0,0.0,0.0,58,43.98,8.02
2025-12-10 06:00:00,7.5,91,6.3,0.0,0.0,0.0,62,43.98,8.02
2025-12-10 07:00:00,7.8,91,6.6,0.0,0.0,0.0,64,43.98,8.02
2025-12-10 08:00:00,7.7,92,8.2,0.0,0.0,0.0,69,43.98,8.02
2025-12-10 09:00:00,8.2,92,7.6,46.2,0.0,0.0,78,43.98,8.02
2025-12-10 10:00:00,8.5,89,7.8,152.8,0.0,0.0,65,43.98,8.02
2025-12-10 11:00:00,9.0,89,9.4,269.0,0.0,0.0,68,43.98,8.02
2025-12-10 12:00:00,9.4,88,10.0,319.8,0.0,0.0,73,43.98,8.02
2025-12-10 13:00:00,9.6,90,11.9,320.8,0.0,0.0,80,43.98,8.02
2025-12-10 14:00:00,9.6,88,12.1,288.2,0.0,0.0,74,43.98,8.02
2025-12-10 15:00:00,9.4,89,10.3,233.2,0.0,0.0,70,43.98,8.02
2025-12-10 16:00:00,8.8,92,9.0,129.5,0.0,0.0,64,43.98,8.02
2025-12-10 17:00:00,8.1,93,7.2,23.8,0.0,0.0,52,43.98,8.02
